Diagnosis/Presenting problem,Specific Factors 1,Specific Factors 2,Admitting Service,Notes
Acute Dermatological Illness Requiring Admission,,,SSU (72 hrs.) ,
Acute Dermatological Illness Requiring Admission,,,Internal Medicine,
Aortic Dissection,,Involving ascending aorta and arch (” Type A”),Cardiac Surgery ,
Aortic Dissection,,Distal to left subclavian artery (“Type B”),Vascular Surgery ,
Biliary Disease,"Benign biliary, non-cancer related:",Choledocholithiasis without cholecystitis or cholangitis requiring admission.,SSU less than 72 hours,
Biliary Disease,"Benign biliary, non-cancer related:",Choledocholithiasis without cholecystitis or cholangitis requiring admission.,ACS more than 72 hours,
Biliary Disease,"Benign biliary, non-cancer related:","Cholecystitis, Crescendo biliary colic, Cholangitis (including stents and external drainage managed by ACS)",ACS,
Biliary Disease,"Benign biliary, non-cancer related:",Biliary obstruction needing MRCP,SSU with consult to ACS ,
Biliary Disease,Malignant biliary:,"New diagnosis or suspicion AND potentially resectable; Complication of surgery; surgical complication of procedure (perforation; obstruction; bleeding; pancreatitis)- ,",Hepatobiliary Surgery (RVH),
Biliary Disease,Malignant biliary:,Known cases documented by surgery as clearly not resectable and not related to complications listed above,Follow Oncology algorithm,
Back pain / radiculopathy,,Without neurological symptoms,Internal medicine (GOLD),
Back pain / radiculopathy,,Without neurological symptoms,SSU if less than 72h expected,
"Bowel Obstruction, small",,"Abdominal or pelvic surgery by subspeciality service within 3 months, ongoing active cancer care or active surveillance by subspeciality service","Subspecialty service (e.g., Gyne-Oncology, colorectal, urology, hepatobiliary)",
"Bowel Obstruction, small",,Malignant bowel obstruction IF DEEMED NON-OPERATIVE BY SURGERY and no further chemo planned,Palliative care,
"Bowel Obstruction, small",,All others,ACS (consult),
"Bowel Obstruction, small",,(*for IBD cases go to: Crohn’s),,
"Bowel Obstruction, small",,Non-operative and resolving,SSU less than 72h,
"Bowel Obstruction, small",,Non-operative and resolving,ACS more than 72h,
"Bowel Obstruction, large",,Mechanical ,ACS,
"Bowel Obstruction, large",,Pseudo-obstruction (Ogilvie’s),Medicine,
"Bowel Obstruction, large",,Malignant bowel obstruction IF DEEMED NON-OPERATIVE BY SURGERY and no further chemo planned,Palliative care,
Cellulitis,,Facial,OMF ,
Cellulitis,,Facial,SSU,
Cellulitis,,Oropharyngeal/laryngeal,ENT,
Cellulitis,IF associated with abscess that requires drainage (even if drainage done in ED),Perianal,ACS ,"Note: for concern of severe soft tissue infection, see necrotizing fasciitis section"
Cellulitis,IF associated with abscess that requires drainage (even if drainage done in ED),Scrotal,Urology ,"Note: for concern of severe soft tissue infection, see necrotizing fasciitis section"
Cellulitis,IF associated with abscess that requires drainage (even if drainage done in ED),Vulvar,Gyne ,"Note: for concern of severe soft tissue infection, see necrotizing fasciitis section"
Cellulitis,IF associated with abscess that requires drainage (even if drainage done in ED),Hand,Plastics ,"Note: for concern of severe soft tissue infection, see necrotizing fasciitis section"
Cellulitis,IF associated with abscess that requires drainage (even if drainage done in ED),extremities (also see also diabetic foot ulcers) ,Internal Medicine (GOLD),"Note: for concern of severe soft tissue infection, see necrotizing fasciitis section"
Cellulitis,IF associated with abscess that requires drainage (even if drainage done in ED),extremities (also see also diabetic foot ulcers) ,SSU less than 72h,"Note: for concern of severe soft tissue infection, see necrotizing fasciitis section"
Cellulitis,IF associated with abscess that requires drainage (even if drainage done in ED),Others ,Internal med over 72h,"Note: for concern of severe soft tissue infection, see necrotizing fasciitis section"
Cellulitis,IF associated with abscess that requires drainage (even if drainage done in ED),Others ,Best service according to presentation ,"Note: for concern of severe soft tissue infection, see necrotizing fasciitis section"
Chest Pain of Cardiac Origin,,Acute coronary syndrome or pericardial effusion pre-tamponade,Cardiology,(also see under pericarditis)
Chest Pain of Cardiac Origin,,Post- cardiac Surgery:  within one month of discharge,Cardiac surgery,(also see under pericarditis)
Compartment syndrome (or /suspicion of) ,,Most ,Ortho (all lower ext. and upper extremity with fracture),
Compartment syndrome (or /suspicion of) ,,Most ,Plastics (upper ext. without fracture) ,
Compartment syndrome (or /suspicion of) ,,Abdominal,Trauma (if trauma mechanism),
Compartment syndrome (or /suspicion of) ,,Abdominal,ACS (others),
Compartment syndrome (or /suspicion of) ,,Hand,Plastic,
Congestive Heart Failure,,"Ongoing chest pain, ACS, caused by ongoing arrhythmia.",Cardiology,
Congestive Heart Failure,,Intubated,"CCU, ICU – bed availability",
Congestive Heart Failure,,Patient of Heart Failure Clinic (<65 and/or pre-transplant) or MAUDE,Cardiology,
Congestive Heart Failure,,VAD – mechanical cardiac assist device,"ICU, Cardiac Surgery"," ED to follow policy algorithm for VAD patient disposition (policy available in ED, target Ito transfer patient to ICU or D7 within 30 mins of arrival for all patients irrespective of diagnosis "
Congestive Heart Failure,,All others,SSU moins de 72h,
Congestive Heart Failure,,All others,Internal Medicine plus de 72h,
COPD/Asthma,,"Acute, requiring assisted ventilation, intubated.","ICU, Respiratory ICU if known to MCI",
COPD/Asthma,,"Significant active co-morbid disease (e.g., DKA, AKI)",Internal Medicine,
COPD/Asthma,,All others,SSU if less than 72 hrs ,
COPD/Asthma,,All others,"Respiratory Medicine, ",
COPD/Asthma,,All others,"Internal Medicine (MGH only),",
Dialysis Patient,,Surgical access problem (non-infected),Fistula: Vascular ,
Dialysis Patient,,Line infection without sepsis/shock,Internal Medicine,
Dialysis Patient,,CAPD peritonitis,Internal Medicine,
Diabetic foot ulcers ,,(consult ID for OPAT),SSU if OPAT delays ,
Diabetic foot ulcers ,,Vascular patients followed at MUHC who require OR debridement,Vascular,
Diabetic foot ulcers ,,Other indications for admission,Medicine ,
Discharge failure,,"Excluding acute critical illness requiring immediate alternative subspecialty management (e.g., MI, stroke, surgical intervention)",Discharge service,"*Returns in less than 28 days 
**Rehab transfers for acute issues are not limited to 28 days. Rehab FAILURES should not be sent to ED by rehab, they are re-admitted to D/C service directly from rehab."
Diverticulitis,,Requiring surgery or complicated,ACS,
Diverticulitis,,Uncomplicated,SSU less than 72h,
Diverticulitis,,Uncomplicated,ACS more than 72 h,
Eating Disorders,,,Psychiatry,
Eating Disorders,,Serious Metabolic imbalance requiring intravenous treatment,Internal Medicine,
